Num_Acc;catr;voie;v1;circ;nbv;vosp;prof;pr;pr1;plan;larrout;surf;infra;situ;vma
536537089;3;D438;0;2;2;0;1;1;260;2;7;1;0;1;90
536537090;4;HOTEL DIEU (RUE DE L');0;2;2;0;1;-1;-1;1;-1;9;0;1;30
536537090;4;POTERNE (RUE);0;1;1;0;1;-1;-1;1;-1;9;0;1;30
536537091;4;TILLEULS (ALLEE DES);0;2;2;0;1;-1;-1;1;-1;1;0;3;50
536537092;4;AUTHIE (N° 106 PAIRS -115 IMPAIRS);0;2;4;0;1;-1;-1;1;-1;1;9;1;50
536537092;4;HAGUE (RUE DE LA);0;2;2;0;1;-1;-1;1;-1;1;0;1;50
536537093;1;BEDOULE (CHEMIN DE LA);0;2;4;0;1;1;0;1;17;2;0;1;50
536537093;1;BEDOULE (CHEMIN DE LA);0;2;4;1;2;272;0;1;17;2;0;1;70
536537094;4;Petite Ourse (rue de la);0;2;0;0;1;0;0;1;-1;1;5;1;50
536537094;4;Petite Ourse (rue de la);0;2;3;0;2;0;0;1;-1;1;5;1;50
536537095;6;HUILES (PLACE AUX);0;2;2;0;1;0;0;2;-1;1;9;1;50
536537096;4;MARCALE (RUE DE);0;2;2;0;1;-1;-1;1;-1;1;0;1;50
536537097;4;TOURTOUSSE (CHEMIN DE);0;2;1;0;1;-1;-1;2;-1;1;0;3;50
536537098;4;FAURE (AV. FELIX);0;1;2;1;1;0;0;1;-1;1;0;5;50
536537099;4;PORTE DE VINCENNES;0;1;4;0;1;32;600;1;-1;1;0;1;70
536537100;4;PORTE DE CLICHY;0;1;4;0;1;19;0;1;-1;8;0;1;70
536537101;4;RUE GASTON TESSIER;0;2;2;0;1;-1;-1;1;-1;1;0;1;30
536537102;4;RUE DE THIONVILLE;0;1;1;0;1;-1;-1;1;-1;1;0;8;30
536537104;4;BOULEVARD BARBES;0;1;2;2;2;-1;-1;1;-1;1;0;5;30
536537104;4;;;1;-1;;1;-1;-1;1;-1;1;0;1;30
536537105;4;;;1;-1;;1;-1;-1;1;-1;1;0;1;30
536537105;4;RUE GUILLAUME TELL;0;1;1;0;1;-1;-1;1;-1;1;0;1;30
536537106;4;BOULEVARD VICTOR;0;1;2;1;1;-1;-1;1;-1;1;0;1;50
536537107;4;RUE REAUMUR;0;1;3;0;1;-1;-1;1;-1;2;0;1;30
536537107;4;RUE SAINT DENIS;0;1;1;0;1;-1;-1;1;-1;2;0;1;30
536537108;3;161;0;2;2;0;2;0;1;1;7;1;0;1;50
536537109;3;;0;3;4;3;1;0;1;1;-1;1;;6;50
536537110;3;SOGNY (RTE DE);0;2;2;0;1;1;720;1;-1;1;0;1;80
536537111;4;CAMP D' ATTILA (RUE DU);0;2;2;0;1;-1;-1;1;-1;1;0;1;50
536537111;4;MELETTE (CHEM DE);0;1;-1;3;2;-1;-1;2;-1;1;0;1;30
536537112;4;CALABET (QUAI DU DOCTEUR);0;2;2;0;2;0;0;1;-1;1;0;4;50
536537113;3;RN 60;0;3;4;0;1;3;866;1;4;1;0;1;70
536537115;4;BOULEVARD DES ANGLAIS;0;2;2;0;2;-1;-1;3;-1;1;0;1;50
536537116;4;RUE DE L'HOTEL DE VILLE;0;2;2;0;1;-1;-1;1;-1;1;9;1;30
536537117;4;AMICALISTES;0;1;-1;0;4;-1;-1;1;-1;1;0;1;50
536537117;4;KLEBER;0;2;2;0;1;-1;-1;1;-1;1;0;1;50
536537118;4;HALLES (RUE DES);0;2;2;0;1;-1;-1;1;-1;1;0;1;50
536537118;4;MARCEAU (RUE);0;1;2;1;1;-1;-1;1;-1;1;0;1;50
536537119;4;MOULIN DE JOUE (DU);0;2;2;2;2;-1;-1;1;-1;1;0;1;30
536537120;4;MARTELLI GILBERT (AVENUE);0;1;1;0;1;1;0;1;-1;1;0;1;50
536537121;4;CAPITAINE PIERRE PONTAL (RUE DU);0;2;2;0;1;0;0;1;-1;1;8;1;50
536537122;4;QUAI DE LA GRAVE;0;2;4;0;1;-1;-1;1;-1;1;0;1;50
536537123;4;QUAI DU PRESIDENT WILSON;0;3;6;0;1;-1;-1;1;-1;1;0;1;50
536537123;4;RUE PAULY;0;1;1;0;1;-1;-1;1;-1;1;0;1;30
536537124;4;EIFFEL (RUE GUSTAVE) DU 380 ET +;0;2;2;0;1;-1;-1;1;-1;1;0;8;50
536537124;4;PAPIN (RUE DENIS);0;2;2;0;1;-1;-1;1;-1;1;0;1;50
536537125;3;ROUILLEN AVENUE;0;2;1;0;1;2;0;1;-1;1;9;3;30
536537126;2;RN 165;0;2;2;0;1;54;200;1;10;1;8;1;80
536537127;4;MAUSSIBOT (RUE EUGENE);0;2;2;0;1;0;0;1;-1;1;0;1;50
536537127;4;REPUBLIQUE (AVENUE DE LA);0;2;0;0;1;0;0;1;-1;1;0;1;50
536537128;3;ROUEN (AVENUE DE);0;2;2;0;1;4;88;1;-1;1;0;1;50
536537129;4;;;2;2;0;1;-1;-1;1;-1;1;0;4;50
536537129;4;;;2;2;0;1;-1;-1;1;-1;2;0;4;50
536537130;3;145;0;2;2;0;1;31;150;1;-1;1;9;1;70
536537131;4;;0;1;1;0;1;0;1;1;-1;1;0;1;50
536537133;4;CLEMENCEAU GEORGES AVENUE N° PAIR;0;3;0;0;1;0;0;1;-1;1;0;8;50
536537134;1;A50;0;1;1;0;3;43;200;3;-1;2;3;1;70
536537135;4;EGLISE (RUE DE L');0;2;2;0;1;0;0;1;-1;1;0;1;30
536537136;1;AUTOROUTE A 10;0;3;6;0;1;542;543;1;14;1;3;1;90
536537137;3;27;;2;2;0;1;8;700;1;7;1;0;3;70
536537137;3;;;2;2;0;1;24;380;1;-1;1;0;3;80
