Num_Acc;id_vehicule;num_veh;senc;catv;obs;obsm;choc;manv;motor
536537089;155 781 758;A01;1;7;0;2;1;13;1
536537089;155 781 759;B01;2;14;0;2;2;21;1
536537090;155 781 757;A01;1;10;0;1;3;15;1
536537091;155 781 756;A01;3;3;9;1;1;1;1
536537092;155 781 754;B01;3;34;0;2;0;0;1
536537092;155 781 755;A01;3;7;0;2;3;15;0
536537093;155 781 750;A01;3;7;0;2;1;9;1
536537093;155 781 751;B01;;7;0;2;1;17;1
536537093;155 781 752;C01;;7;0;0;3;2;1
536537093;155 781 753;D01;;7;0;0;1;2;1
536537094;155 781 748;A01;3;7;0;2;1;1;1
536537094;155 781 749;B01;2;7;0;2;6;19;1
536537095;155 781 746;A01;2;7;0;2;2;15;1
536537095;155 781 747;B01;3;7;0;2;3;9;2
536537096;155 781 742;A01;1;7;0;2;1;2;1
536537096;155 781 743;B01;1;7;0;2;4;2;1
536537097;155 781 741;A01;1;7;6;5;2;14;1
536537098;155 781 740;A01;1;33;12;0;8;18;1
536537099;155 781 738;B01;2;7;0;2;4;1;1
536537099;155 781 739;A01;2;7;0;2;1;2;1
536537100;155 781 737;A01;1;33;0;0;7;1;1
536537101;155 781 736;A01;2;2;0;1;2;1;1
536537102;155 781 734;Z01;2;1;0;2;2;17;5
536537102;155 781 735;A01;2;1;0;2;3;1;5
536537103;155 781 732;A01;3;80;0;2;1;1;3
536537103;155 781 733;B01;1;80;0;2;1;1;3
536537104;155 781 730;B01;2;50;1;0;2;22;3
536537104;155 781 731;A01;3;10;1;2;2;22;1
536537105;155 781 729;A01;1;7;0;1;4;26;1
536537106;155 781 727;A01;2;7;0;2;3;9;1
536537106;155 781 728;B01;2;1;0;2;7;1;5
536537107;155 781 726;A01;2;7;0;1;1;16;2
536537108;155 781 724;A01;0;2;0;2;1;17;1
536537108;155 781 725;B01;0;33;0;2;1;1;1
536537109;155 781 723;A01;0;50;0;1;1;26;3
536537110;155 781 722;A01;1;7;2;0;1;1;1
536537111;155 781 720;A01;0;7;0;2;0;0;0
536537111;155 781 721;B01;1;7;0;2;3;1;1
536537112;155 781 719;A01;3;2;8;0;1;14;1
536537113;155 781 715;D01;1;7;0;2;1;2;0
